Name,Naics Code Description,Address,City,County,State,Zip Code,"Excess Food Estimate, Low (tons per year)"
Stephens Island Fusion & Catering Service LLC,Caterers,23 Lake Region Blvd,Monroe,Orange,NY,10950,1.44
Steph's Your Chef,Caterers,8386 Meadow Run Cv,Germantown,Shelby,TN,38138,5.02
Sterling Banquet Hall 2,Caterers,5475 W Sam Houston Pkwy N,Houston,Harris,TX,77041,2.11
Sterling Banquet Hall 2,Caterers,10112 Hammerly Blvd,Houston,Harris,TX,77080,1.38
Sterling Cafe,"Cafeterias, Grill Buffets, and Buffets",1426 1st Ave SW Ste 3,Austin,Mower,MN,55912,4.81
Sterling Caterers & Restaurant LLC,Caterers,345 Hicksville Rd,Bethpage,Nassau,NY,11714,4.25
Sterling Catering & Events,Caterers,1342 Grand Ave,Saint Paul,Ramsey,MN,55105,7.64
Sterling Catering LLC,Caterers,6 Laurel Ln,Pleasant Valley,Litchfield,CT,06063,0.97
Sterling Catering LLC,Caterers,667 Kingstown Rd,Wakefield,Washington,RI,02879,2.58
"Sterling Catering, LLC",Caterers,8150 SW Barnes Rd C106,Portland,Washington,OR,97225,3.84
Sterling Chalet,Caterers,1271 State Road 175,Hubertus,Washington,WI,53033,7.19
"Sterling Cuisine, Inc.",Caterers,2115 McPherson Pl,Los Angeles,Los Angeles,CA,90032,9.86
Sterling Events,Caterers,8423 Research Blvd,Austin,Travis,TX,78758,8.43
"Sterling Spoon Catering, LLC",Caterers,6850 Chapel Glen CT,Atlanta,DeKalb,GA,30360,2.45
Sterling Spoon Culinary Management Co.,Caterers,2120 Barrett Park Dr NW # 4,Kennesaw,Cobb,GA,30144,10.66
Steve Watkins,Mobile Food Services,820 Clyde Fant Pkwy,Shreveport,Caddo,LA,71101,5.65
Steven Becker Fine Dining Catering,Caterers,3701 Lindell Blvd,Saint Louis,St. Louis city,MO,63108,9.55
Steven Connell,Caterers,482 Broome St FL 4,New York,New York,NY,10013,5.34
Steven Frederick Kelsch,Caterers,4885 Candlewood Ln,Traverse City,Grand Traverse,MI,49685,9.68
Steven H Red Fernandez Catering Svc,Caterers,710 W 7th St,Del Rio,Val Verde,TX,78840,4.62
Steven Malone,Caterers,6019 W Idlewild Ave,Tampa,Hillsborough,FL,33634,0.95
Steven Ramlow,Caterers,2836 Matilda St,Saint Paul,Ramsey,MN,55113,4.66
Steven Thomas Catering LLC,Caterers,432 3rd St,Carlstadt,Bergen,NJ,07072,6.34
"Stevens, Rakim",Caterers,1064 Langham Ave,Camden,Camden,NJ,08103,4.59
Steve's Custom Catering,Caterers,52306 Highway 1065,Independence,Tangipahoa,LA,70443,0.86
Steve's Personal Services,Caterers,6320 Augusta Dr,Springfield,Fairfax,VA,22150,6.52
Steve's Snacks LLC,Mobile Food Services,7315 Rambo Way,Louisville,Jefferson,KY,40228,0.70
Stevie S,Caterers,7155 Valjean Ave E,Van Nuys,Los Angeles,CA,91406,10.96
Stewart Catering,Caterers,8409 Church Ln,Bowie,Prince Georges,MD,20720,1.33
Stewart Manor Country Club Inc,Caterers,51 Salisbury Ave,Garden City,Nassau,NY,11530,16.50
Stewart Thomas Banquet Hall Inc.,Caterers,8 Spruce Ave,Bethpage,Nassau,NY,11714,1.06
Stewarts Catering,Caterers,285 Plains Rd,Holly Springs,Marshall,MS,38635,2.69
Stewarts Catering Incorporated,Caterers,67 Charles Dr,New Castle,New Castle,DE,19720,0.59
Stewartstown Catering LLC,Caterers,113 Charles Ave,Stewartstown,York,PA,17363,6.77
Stew's Big League Mobile Catering,Caterers,2117 Holly Berry Ln,Chesapeake,Chesapeake city,VA,23325,5.46
"Stf Events & Catering, Inc.",Caterers,1103 NW Broad St Ste B,Murfreesboro,Rutherford,TN,37129,0.99
Stick A Fork In It Catering LLC,Caterers,11236 Gifford Dr,Spring Hill,Hernando,FL,34608,1.44
Stickman's Personal Chef,Caterers,14842 S Whipple St,Posen,Cook,IL,60469,2.07
Sticks & Stones Catering,Caterers,18472 E Belleview Pl,Centennial,Arapahoe,CO,80015,8.14
"Still Waters Food Service, Inc.",Caterers,2801 W Avenue H,Tarzana,Los Angeles,CA,91356,4.38
Still's Ordinary People LLC,Caterers,319 1st Ave N,Minneapolis,Hennepin,MN,55401,11.44
Stillwater Events & Conference Center,Caterers,464 Debord Rd,Chillicothe,Ross,OH,45601,0.60
"Stillwater Valley Catering, LLC",Caterers,632 Meadow Ln,Troy,Miami,OH,45373,5.16
Stillwaters Catering Company,Caterers,44206 10th St W,Lancaster,Los Angeles,CA,93534,0.59
Stillwell House LLC,Caterers,4021 E Calle Chica,Tucson,Pima,AZ,85711,1.65
Stilwell Hotel Timmons Ballroom,Caterers,707 N Broadway St,Pittsburg,Crawford,KS,66762,31.74
Stingray's Grill & Bar,Caterers,1303 W Esplanade Ave,Kenner,Jefferson,LA,70065,40.15
Stir It Up Bistro & Catering,Caterers,2665 Aero Dr Ste A,Port Arthur,Jefferson,TX,77640,3.06
"Stirring Events, L.L.C.",Caterers,42 Rex Cir,Salida,Chaffee,CO,81201,1.37
Stirring Is Not Cooking LLC,Caterers,401 Rockefeller APT 910,Irvine,Orange,CA,92612,1.44
"Stirrup Catering, LLC",Caterers,868 Gwyne Ave,Santa Barbara,Santa Barbara,CA,93111,0.91
"Stirrup Catering, LP",Caterers,4501 Cathedral Oaks Rd,Santa Barbara,Santa Barbara,CA,93110,
"Stocks Concession and Catering, LLC",Caterers,110 Delwood Dr,Dover,York,PA,17315,6.02
Stockton Gujarati Samaj Hall,Caterers,3405 Guernsey Ave,Stockton,San Joaquin,CA,95205,0.31
"Stokes VIP Catering, LLC",Caterers,581 County Road 101,Oxford,Lafayette,MS,38655,4.15
"Stone Barn At Whitney Farms, LLC",Caterers,175 Shelton Rd,Monroe,Fairfield,CT,06468,23.64
Stone Barn Inc,Caterers,550 Upland Rd,Kennett Square,Chester,PA,19348,13.33
Stone Catering,Caterers,809 Pruitt Dr,Redondo Beach,Los Angeles,CA,90278,1.98
Stone Crest Venue LLC / Lincom LLC,Caterers,160 Rockcrest Rd,McKinney,Collin,TX,75071,6.90
Stone House of St Charles LLC,Caterers,4401 McClay Rd,Saint Charles,St. Charles,MO,63304,2.23
Stone House Restaurant,Caterers,50 Stirling Rd,Warren,Somerset,NJ,07059,38.38
Stone Soup Catering Inc,Caterers,8613 Ziggy Ln,Gaithersburg,Montgomery,MD,20877,7.64
Stone Soup Catering LLC,Caterers,423 L St,Davis,Yolo,CA,95616,4.76
Stone Soup Catering LLC,Caterers,1131 Pilgrim Hwy,Frankfort,Benzie,MI,49635,10.25
"Stone Way Eateries, LLC",Caterers,1601 5th Ave Ste 2040,Seattle,King,WA,98101,10.31
Stonebridge Weddings and Events LLC,Caterers,33520 Lange Farm Rd,Dade City,Pasco,FL,33525,5.07
"Stonebrook, LLC",Caterers,9101 S Robinson Ave,Oklahoma City,Oklahoma,OK,73139,5.00
Stonecrest,Caterers,968 Waterville Rd,Waldo,Waldo,ME,04915,1.54
Stonehouse Custom Catering LLC,Caterers,4436 Chatsworth St N,Shoreview,Ramsey,MN,55126,9.56
Stonehouse Villa,Caterers,15110 FM 150 W,Driftwood,Hays,TX,78619,6.90
Stone's Cafe,"Cafeterias, Grill Buffets, and Buffets",2575 S Dairy Ashford Rd A,Houston,Harris,TX,77077,0.88
"Stone's Custom Catering, LLC",Caterers,2100 Rainbow Dr APT 4114,Arlington,Tarrant,TX,76011,1.03
Stonewall Manor,Caterers,104 Stonewall St,Cartersville,Bartow,GA,30120,2.23
"Stonewood Holdings, LLC","Cafeterias, Grill Buffets, and Buffets",5072 Dr Phillips Blvd,Orlando,Orange,FL,32819,8.38
Stoney Creek Partners Waukon LP,Caterers,101 18th St,Moline,Rock Island,IL,61265,1.38
"Stoney Hill Media, LLC",Caterers,2187 Holland Ave APT 1l,Bronx,Bronx,NY,10462,1.07
Stoney's Banquet Room,Caterers,701 NW Riverside Dr,Evansville,Vanderburgh,IN,47708,6.47
Stonington School Food Svcs,Caterers,40 Field St,Pawcatuck,New London,CT,06379,12.38
Stony Cabin Culinary LLC,Caterers,373 E Grove St,Nanticoke,Luzerne,PA,18634,1.44
Stopani Catering,Caterers,8122 E Estes Ln,Tucson,Pima,AZ,85710,2.53
Stovall Catering Inc,Caterers,103 North St,Jackson,Madison,TN,38301,1.44
Stove To Soul Catering LLC,Caterers,20851 Lassen St APT 1,Chatsworth,Los Angeles,CA,91311,1.44
"Stover Hall, LLC",Caterers,1381 US Highway BSN 340,Luray,Page,VA,22835,5.07
Stowells Catering,Caterers,W1127 Spring Prairie Rd,Burlington,Racine,WI,53105,1.58
"Stradavarius, Inc.",Caterers,2680 Bancroft Way,Berkeley,Alameda,CA,94704,2.75
Straight To The Plate,Caterers,500 W Southern Ave Ste 26,Mesa,Maricopa,AZ,85210,11.33
Straightlaw COOking&catering LLC,Caterers,4339 S Dearborn St,Chicago,Cook,IL,60609,2.52
Strains Catering,Caterers,1914 Lafayette Ave SE,Grand Rapids,Kent,MI,49507,1.90
Straits Cafe Catering & Banquets,Caterers,3295 El Camino Real,Palo Alto,Santa Clara,CA,94306,9.50
Strange & Son's Inc,Caterers,2307 Neuse Blvd,New Bern,Craven,NC,28560,14.85
"Stratonike Foods, Inc.",Caterers,13429 N 29th Pl,Phoenix,Maricopa,AZ,85032,0.59
Stratos Catering,Caterers,11041 Santa Monica Blvd,Los Angeles,Los Angeles,CA,90025,8.77
Stratwood Catering,Caterers,4590 Macarthur Blvd,Newport Beach,Orange,CA,92660,1.63
Straughen's Catering,Caterers,431 Black Horse Rd,Chester Springs,Chester,PA,19425,1.44
"Straw Catering, LLC",Caterers,3319 Bathurst Ave,Bakersfield,Kern,CA,93313,7.42
Strawberry Red Catering LLC,Caterers,107 Clinton Blvd APT D3,Clinton,Hinds,MS,39056,1.44
Stray Dogs Catering LLC,Caterers,1991 Summerhaven Dr,Greenville,Pitt,NC,27858,1.52
"Streat Detroit, LLC",Caterers,1936 Crestview Dr,Durango,La Plata,CO,81301,10.18
Street Chef California LLC,Caterers,3426 Medici Way Unit 1,Oceanside,San Diego,CA,92056,6.59
"Street Chefs, The LLC",Mobile Food Services,1700 N Monroe St,Tallahassee,Leon,FL,32303,1.12
Street Food Army Catering L.L.C.,Caterers,4271 W 62nd St,Los Angeles,Los Angeles,CA,90043,1.44
Street Foods LLC,Caterers,5877 Commerce St,Pittsburgh,Allegheny,PA,15206,0.84
Street Heat Catering LLC,Caterers,15280 Avenida Fiesta,Moreno Valley,Riverside,CA,92555,1.44
Street King Tacos and Catering LLC,Caterers,46173 W Holly Dr,Maricopa,Pinal,AZ,85139,1.44
Street Meat LLC,Mobile Food Services,1951 Avalon Ave,Saginaw,Saginaw,MI,48638,8.29
Streetlight Catering LLC,Caterers,7758 Road 71,Payne,Paulding,OH,45880,1.44
Stress-Less Events and Catering LLC,Caterers,4007 Duccio River Way,Katy,Harris,TX,77493,1.33
Strickland Restaurant,Caterers,14025 Mount Pleasant Rd,Jacksonville,Duval,FL,32225,4.02
Strictly Catering,Caterers,2805 Market Street Rd A,Harrisburg,Dauphin,PA,17103,11.85
Strip Snacks Inc.,Mobile Food Services,15 Marble Loop,Staten Island,Richmond,NY,10309,12.47
"Stroke's Seafood, LLC",Mobile Food Services,2745 N Osprey Ave,Sarasota,Sarasota,FL,34234,1.20
Strong's Soulfood & Bbq Catering LLC,Caterers,3617 R J Hendley Ave,Riviera Beach,Palm Beach,FL,33404,1.44
Stroud's Barbecue,Caterers,915 Nashville Hwy,Columbia,Maury,TN,38401,11.58
Stroud's Barbeque,Caterers,608 N Broadway,Portland,Sumner,TN,37148,3.67
"Stroup Catering, Inc.",Caterers,2796 Albrecht Ave,Akron,Summit,OH,44312,6.60
Stroup's Delight LLC,Caterers,196 Fetsko Rd,West Middlesex,Mercer,PA,16159,5.62
Struck Catering LLC,Caterers,3515 36th Ave S,Minneapolis,Hennepin,MN,55406,2.99
Struck Catering S1,Caterers,470 Selby Ave,Saint Paul,Ramsey,MN,55102,1.93
Strudels,Caterers,4141 S Tamiami Trl Ste 7,Sarasota,Sarasota,FL,34231,1.44
Strutzel Enterprises Inc.,"Cafeterias, Grill Buffets, and Buffets",212 5th St Ste 2b,Wenatchee,Chelan,WA,98801,12.35
"Stt Acquisitions, Inc.",Caterers,4313 W Kennedy Blvd Ste A,Tampa,Hillsborough,FL,33609,5.55
"Stuart Thomas Manor, Inc.",Caterers,2143 Boundary Ave Unit A,Farmingdale,Nassau,NY,11735,1.88
Stubbest Inc,Caterers,600 SW 14th CT Ste 102,Deerfield Beach,Broward,FL,33441,0.88
Stubbs Food and Catering LLC,Caterers,2519 Conti St,New Orleans,Orleans,LA,70119,1.44
"Studio 25, LLC",Caterers,10780 Dixie Hwy Unit 3,Walton,Boone,KY,41094,0.17
Studio 324,Caterers,324 Broadway Ave S,Rochester,Olmsted,MN,55904,3.56
"Studio Coco, Inc.",Caterers,130 W 23rd St FL 4,New York,New York,NY,10011,8.46
Studio South Islamorada,Caterers,80925 Overseas Hwy 2a,Islamorada,Monroe,FL,33036,5.02
Studio305 Reception Hall,Caterers,12039 SW 132nd CT Unit 7,Miami,Miami-Dade,FL,33186,7.10
Stuebner's Mobile Catering LLC,Caterers,302 N Gold St,Paola,Miami,KS,66071,1.44
Stufhapn Event Caterers,Caterers,7700 Butterfield St,New Orleans,Orleans,LA,70126,2.55
Stumlers Catering,Caterers,1805 Beechwood Ave,New Albany,Floyd,IN,47150,7.92
Stumpys Spot,Caterers,777 Saratoga Ave,Brooklyn,Kings,NY,11212,11.79
"Sturdy's Catering, LLC",Caterers,219 Oakwood St,League City,Galveston,TX,77573,5.36
Styer's Garden Cafe,"Cafeterias, Grill Buffets, and Buffets",914 Baltimore Pike,Glen Mills,Delaware,PA,19342,15.84
Stylish Food & Events Inc.,Caterers,700 Dalrymple Rd Ste 100,Atlanta,Fulton,GA,30328,16.56
Stylish Food & Events Inc.,Caterers,23 E Colo Blvd Ste 205,Pasadena,Los Angeles,CA,91105,16.56
Styria Catering,Caterers,328 Fifth St,Frederick,Weld,CO,80530,2.54
"Su & Te, Inc.",Caterers,4661 Plumosa Dr APT 4,Yorba Linda,Orange,CA,92886,7.27
Su Cielo Terra LLC,Caterers,3014 W William Cannon Dr # 2026,Austin,Travis,TX,78745,8.43
Subar & Co.,Caterers,417 Cedarbridge Ave # 115,Lakewood,Ocean,NJ,08701,17.91
Sublime Catering LLC,Caterers,7330 Ocean Ter APT 2802,Miami Beach,Miami-Dade,FL,33141,3.01
"Substantial Catering, Inc.",Caterers,6761 NW 21st Ter,Fort Lauderdale,Broward,FL,33309,2.71
Suburban Catering,Caterers,725 Chestnut Ridge Rd,Morgantown,Monongalia,WV,26505,1.58
Suburban Food Service Inc.,Caterers,54 Conchester Rd,Glen Mills,Delaware,PA,19342,1.98
Suburban Food Service South,Caterers,54 Conchester Rd,Concord,Franklin,PA,17217,12.32
Success Culinary International Inc.,Caterers,1050 Anderson Ave Ste 10,Bronx,Bronx,NY,10452,1.44
Succulent Cuisine,Caterers,40475 Trinty MLS 701162,Dallas,Dallas,TX,75370,1.89
Sue Chef Catering,Caterers,975 Secret Cove Dr,Buford,Gwinnett,GA,30518,1.59
Sue S Creative Catering,Caterers,5341 County Road 15,Arlington,Washington,NE,68002,4.49
Sue Sa's Creative Catering,Caterers,720 W Main St,Visalia,Tulare,CA,93291,1.95
Suebee's Catering LLC,Caterers,577 Alcott St,Philadelphia,Philadelphia,PA,19120,2.14
Sue's Cafeteria and Ice Cream Parlor,"Cafeterias, Grill Buffets, and Buffets",3855 E First St,Blue Ridge,Fannin,GA,30513,7.31
Sue's Catering,Caterers,254 Fayette Pole Creek Rd,Pinedale,Sublette,WY,82941,8.52
"Sue's Kitchen Catering, LLC",Caterers,4115 Canyon Crest Rd W,San Ramon,Contra Costa,CA,94582,1.58
Suga Mama's Catering Service LLC,Caterers,59 Philip Pl,Irvington,Essex,NJ,07111,1.44
SUGAE N SPICE CATERING,Caterers,1245 County Road 321,Gatesville,Coryell,TX,76528,1.51
Sugah Li's Catering LLC,Caterers,3711 Mrtin Lther King Jr,New Orleans,Orleans,LA,70125,1.44
Sugahi Catering LLC,Caterers,150 S Hamlin Blvd APT 1,Chicago,Cook,IL,60624,1.44
Sugar & Coco,Caterers,1755 Leybourne Loop,Wesley Chapel,Pasco,FL,33543,1.42
Sugar & Spice Culinary Arts LLC,Caterers,222 Fernwood Ter,Garden City,Nassau,NY,11530,16.81
Sugar and Spice Catering,Caterers,58 Timberlane St,Texarkana,Bowie,TX,75501,5.57
Sugar and Spice Catering and Event Plann,Caterers,31 Timber Trail Dr,Brumley,Miller,MO,65017,6.85
Sugar Baker's,Caterers,7008 McComb Hlmesville Rd,McComb,Pike,MS,39648,0.68
Sugar Beach Catering,Caterers,120 Partin Dr N,Niceville,Okaloosa,FL,32578,1.38
Sugar Bear Bbq and Catering LLC,Caterers,3330 Tuttlegrove Rd,Vineland,Cumberland,NJ,08361,1.44
Sugar Fig,Caterers,2707 Melissa CT,Cedar Hill,Dallas,TX,75104,1.51
Sugar Ink Bakery & Catering LLC,Caterers,716 N Broad St,Mankato,Blue Earth,MN,56001,4.52
"Sugar Island Sweets, LLC",Caterers,6041 65th Ave N,Pinellas Park,Pinellas,FL,33781,1.63
Sugar Magnolia Catering LLC,Caterers,4944 Windward Pl,Fernandina Beach,Nassau,FL,32034,1.44
Sugar Magnolia Culinary Catering LLC,Caterers,815 W Chatham St,Cary,Wake,NC,27511,5.02
Sugar Magnolia's Catering,Caterers,1338 N Windsor Ave,Bay Shore,Suffolk,NY,11706,9.48
Sugar Mammas LLC,Caterers,12105 Pacific Ave APT 9,Los Angeles,Los Angeles,CA,90066,1.44
"Sugar Mountain Catering, Inc.",Caterers,1639 George Rd,Wantagh,Nassau,NY,11793,2.10
Sugar Raw,Snack and Nonalcoholic Beverage Bars,442 W Calaveras Blvd,Milpitas,Santa Clara,CA,95035,5.49
Sugar Rimz Bartending & Catering LLC,Caterers,6916 S Artesian Ave,Chicago,Cook,IL,60629,7.83
Sugar Rush Dessert Catering and Events Inc.,Caterers,6041 N Henry Blvd Ste E,Stockbridge,Henry,GA,30281,3.58
"Sugar Rush, LLC",Caterers,4125 W Garriott Rd,Enid,Garfield,OK,73703,2.31
Sugar Shack,Caterers,116 E Cherokee St,Medford,Grant,OK,73759,1.32
Sugarbakers,Caterers,132 E Main St,Knightstown,Henry,IN,46148,0.49
Sugarland Events LLC,Caterers,8637 Linley Rd,Arena,Iowa,WI,53503,1.49
Sugarplum Catering Co LLC,Caterers,8005 NW 160th Ter,Edmond,Oklahoma,OK,73013,1.44
Sugarsnap LLC,Caterers,356 Cedar St,San Carlos,San Mateo,CA,94070,10.25
Sugarsnap LLC,Caterers,530 Community Dr Ste 9,South Burlington,Chittenden,VT,05403,11.25
"Sugas Sweet Treats & Catering Services , LLC",Caterers,1655 Farragut St,New Orleans,Orleans,LA,70114,1.44
Sugee's Bakery Cafe,"Cafeterias, Grill Buffets, and Buffets",13225 Ne 20th St,Bellevue,King,WA,98005,1.48
Suggabaybs Catering LLC,Caterers,1217 Blackstone Ave,San Bernardino,San Bernardino,CA,92411,1.44
Suggafoot Catering,Caterers,14320 Ventura Blvd # 318,Sherman Oaks,Los Angeles,CA,91423,1.44
Sugoi,Caterers,1286 Kalani St Ste 106,Honolulu,Honolulu,HI,96817,11.95
Suite Escape LLC,Caterers,109 W 9th St,Gillette,Campbell,WY,82716,1.35
"Suite J Catering & Events, LLC",Caterers,8130 216th Pl SE,Woodinville,King,WA,98072,2.08
Suite Life Caterieng Lc,Caterers,415 Armour Dr Ne APT 3406,Atlanta,Fulton,GA,30324,1.44
Sullivan Catering,Caterers,11 New St,Budd Lake,Morris,NJ,07828,2.05
Sumac Catering & Events,Caterers,3711 Knollcroft St,Easton,Northampton,PA,18045,2.12
Summer Street Gardens Catering,Caterers,818 El Camino Rd,Ojai,Ventura,CA,93023,1.94
Summerland Catering LLC,Caterers,501 E 19th St,Vancouver,Clark,WA,98663,3.87
Summer's Table LLC,Caterers,239 Grandview St,Laguna Beach,Orange,CA,92651,2.10
Summit Catering Corporation,Caterers,2351 SW Hall CT,Redmond,Deschutes,OR,97756,7.29
"Summit Club Beverage, Inc.",Caterers,3700 Judson Rd,Longview,Gregg,TX,75605,16.00
Summitt Cafeteria,"Cafeterias, Grill Buffets, and Buffets",30 Marietta St NW,Atlanta,Fulton,GA,30303,16.71
Summoor LLC,Caterers,902 Fiesta CT,University Park,Will,IL,60484,0.33
Sumner House LLC,Caterers,287 N Hemlock Rd,Charlestown,Sullivan,NH,03603,1.96
"Sumnerhouse, LLC",Caterers,122 Main St,Charlestown,Sullivan,NH,03603,1.44
Sumptuous Suppers,Caterers,6864 Sagebrush Cir,Sarasota,Manatee,FL,34243,7.73
Sumter Catering,Caterers,2580 McCrays Mill Rd,Sumter,Sumter,SC,29154,1.27
Sumya's Catering LLC,Caterers,201 Linden Blvd APT C15,Brooklyn,Kings,NY,11226,1.44
Sun & Matts Baking & Catering,Caterers,646 S Beveridge Rd,Sutherland,Lincoln,NE,69165,4.87
Sun City Snacks,Mobile Food Services,8224 Turk CT,El Paso,El Paso,TX,79907,8.73
Sun Cuisine Catering LLC,Caterers,12200 SW 70th CT FL 33156,Pinecrest,Miami-Dade,FL,33156,22.85
Sun of A Brunch Catering LLC,Caterers,18 Rudwick Cir,Goose Creek,Berkeley,SC,29445,1.46
Sun On The Beach,Snack and Nonalcoholic Beverage Bars,5770 W Irlo Brnson Mem Hw,Kissimmee,Osceola,FL,34746,22.83
Sun Pony,Mobile Food Services,2309 18th St NW,Washington,District of Columbia,DC,20009,0.45
"Sun Shine Cafeteria Express, Corp","Cafeterias, Grill Buffets, and Buffets",8180 NW 36th St,Doral,Miami-Dade,FL,33166,4.42
Sun State Snacks Inc,Mobile Food Services,641 W Harding St,Orlando,Orange,FL,32805,0.97
"Sun Time, LLC",Caterers,1023 Burga Loop,Chula Vista,San Diego,CA,91910,4.00
Sunami Inc,Caterers,15 Sawmill Grove Ln,The Woodlands,Montgomery,TX,77380,2.23
Sunburst Catering,Caterers,4047 W Maypole Ave,Chicago,Cook,IL,60624,8.95
"Suncoast Catering, LLC",Caterers,9001 Wiggins Rd,Gibsonton,Hillsborough,FL,33534,5.72
Sunday Cakes & Plates LLC,Caterers,5910 Courville St,Detroit,Wayne,MI,48224,0.70
Sunday Dinner Catering,Caterers,1208 Southern Oaks CT,Burleson,Johnson,TX,76028,2.39
Sunday Dinners Soul Food,Caterers,3848 N McKinley St Ste B,Corona,Riverside,CA,92879,1.56
Sunday Gravy Nyc,Caterers,4805 Broadway,Union City,Hudson,NJ,07087,9.96
Sunday's Cafeteria Inc,"Cafeterias, Grill Buffets, and Buffets",19300 Hartford St,Edison,Calhoun,GA,39846,2.56
Sunday's Catering Caterers,Caterers,38 Leigh Ln,Jackson,Madison,TN,38305,1.34
Sundevich,Caterers,1314 9th St NW,Washington,District of Columbia,DC,20001,3.75
"Sunfare, LLC",Caterers,120 S Anderson St,Los Angeles,Los Angeles,CA,90033,16.56
Sunfire Grill,Caterers,23572 Sunserra Loop NW # 2,Quincy,Grant,WA,98848,8.83
Sunflower Catering,Caterers,58b Lower Bear Creek Rd,Winthrop,Okanogan,WA,98862,5.49
"Sunflower Catering, LLC",Caterers,9553 Weshurst Ln,Upper Marlboro,Prince Georges,MD,20774,8.40
Sunflower Culinary Services,Caterers,3223 E Campbell Ave,Phoenix,Maricopa,AZ,85018,1.44
Sunfresh Catering Event Decorating Inc,Caterers,10866 Washington Blvd,Culver City,Los Angeles,CA,90232,1.44
Sunlife Organics,Snack and Nonalcoholic Beverage Bars,3835 Cross Creek Rd,Malibu,Los Angeles,CA,90265,1.44
Sunlife Organics,Snack and Nonalcoholic Beverage Bars,929 W Jefferson Blvd,Los Angeles,Los Angeles,CA,90089,1.44
Sunny Brook Snacks,Mobile Food Services,13098 Farm Road 2175,Cassville,Barry,MO,65625,0.59
Sunnybrook Catering,Caterers,672 VT Rte 110,Chelsea,Orange,VT,05038,4.77
Sunnybrook Catering LLC,Caterers,204 Sunnybrook Rd,Flourtown,Montgomery,PA,19031,1.44
Sunnys Catering,Caterers,150 Jewell St,Santa Cruz,Santa Cruz,CA,95060,6.65
Sunny's Catering,Caterers,222 N Story Rd Ste 128,Irving,Dallas,TX,75061,3.96
"Sunnyside Cafe, L.L.C.","Cafeterias, Grill Buffets, and Buffets",477 Rome St,Carrollton,Carroll,GA,30117,14.75
Sunrise Banquet Hall and Event Center,Caterers,620 Orange Dr,Vacaville,Solano,CA,95687,16.20
Sunrise Cafe,"Cafeterias, Grill Buffets, and Buffets",104 W 2nd St,Venus,Johnson,TX,76084,10.48
Sunrise Cafe,"Cafeterias, Grill Buffets, and Buffets",112 Williams Ave,Cleburne,Johnson,TX,76033,2.62
Sunrise Cafe,"Cafeterias, Grill Buffets, and Buffets",13450 W Sunrise Blvd # 100,Sunrise,Broward,FL,33323,2.03
Sunrise Cafe,"Cafeterias, Grill Buffets, and Buffets",155 S Franklin Ave,Valley Stream,Nassau,NY,11580,1.78
Sunrise Cafe,"Cafeterias, Grill Buffets, and Buffets",29591 Orchard Lake Rd,Farmington Hills,Oakland,MI,48334,0.87
Sunrise Cafe,"Cafeterias, Grill Buffets, and Buffets",611 Newport Dr,Spicewood,Travis,TX,78669,3.31
Sunrise Catering,Caterers,10610 W Oakland Park Blvd,Sunrise,Broward,FL,33351,19.56
Sunrise Catering LLC,Caterers,17 Ryle Ave,Little Falls,Passaic,NJ,07424,5.79
Sunrise Catering Unltd,Caterers,64 Norwood St,Newark,Essex,NJ,07106,5.80
"Sunrise Farm, LLC",Caterers,2749 Highway 301,Trenton,Dade,GA,30752,0.99
Sunrise Palace,Caterers,620 Orange Dr,Vacaville,Solano,CA,95687,16.20
Sunrise Snack Shack Inc,Snack and Nonalcoholic Beverage Bars,35633 Johns Ln,Eustis,Lake,FL,32736,11.50
Sunseri,Caterers,1806 Truman Dr,Aliquippa,Beaver,PA,15001,1.44
Sunset Banquet Inc,Caterers,571 Ontario St,Buffalo,Erie,NY,14207,4.28
Sunset Cafeteria,"Cafeterias, Grill Buffets, and Buffets",1104 California St,Coalinga,Fresno,CA,93210,1.50
Sunset Celebration Center LLC,Caterers,3593 Pontaluna Rd,Fruitport,Muskegon,MI,49415,0.54
Sunset Florida Enterprise Inc,Caterers,15544 SW 72nd St,Miami,Miami-Dade,FL,33193,0.42
Sunset Gatherings LLC,Caterers,747 Ewing Ln,Burnsville,Yancey,NC,28714,6.90
Sunset Grill,Caterers,823 Danby Rd,Ithaca,Tompkins,NY,14850,13.86
Sunset Lakes Banquet Center,Caterers,2 Fox Mdws,Saint Louis,St. Louis,MO,63127,5.50
Sunshine Cafe,"Cafeterias, Grill Buffets, and Buffets",117 E Commercial St,Senath,Dunklin,MO,63876,8.56
Sunshine Cafe,"Cafeterias, Grill Buffets, and Buffets",688 Old Route 66,Saint Robert,Pulaski,MO,65584,8.54
Sunshine Catering,Caterers,1201 E Beth Dr,Phoenix,Maricopa,AZ,85042,1.62
Sunshine Catering Company LLC,Caterers,15 Guilford Ln,Youngsville,Franklin,NC,27596,1.44
Sunshine Catering LLC,Caterers,1106 S 13th St,Artesia,Eddy,NM,88210,1.44
SUNSHINE CATERING LLC,Caterers,18412 N 44th Pl,Phoenix,Maricopa,AZ,85032,6.61
"Sunshine Catering, Inc.",Caterers,306 Flourtown Rd,Lafayette Hill,Montgomery,PA,19444,8.97
Sunshine Cuppa Coffee and Tea,Mobile Food Services,2755 Highway 46 S,Dickson,Dickson,TN,37055,1.03
Sunshine Events and Catering,Caterers,2521 Fritzke Rd,Dover,Hillsborough,FL,33527,2.10
