Name,Naics,Address,City,County,State,zip,excess_low_lbs,excess_high_lbs,UniqueID,prepared
Harry's Bar & Grill Inc,Limited-Service Restaurants,3023 E Douglas Ave,Wichita,Sedgwick,KS,67211,23903,23903,RFS367506,0
Harry's Cafe Inc,Full-Service Restaurants,412 N Broadway St,Pittsburg,Crawford,KS,66762,11220,11220,RFS189249,0
Hartmoor Concessions,Limited-Service Restaurants,8151 N Hartman Arena Dr,Park City,Sedgwick,KS,67147,35057,66000,RFS435292,0
Harvest Wheat Inc.,Full-Service Restaurants,2273 S 9th St,Salina,Saline,KS,67401,40448,40448,RFS126907,0
Hattie's Fine Coffee By Copeland LLC,Limited-Service Restaurants,5343 Birch St,Roeland Park,Johnson,KS,66205,57589,93000,RFS406314,0
Hawaiian Bros.,Full-Service Restaurants,1501 W 23rd St,Lawrence,Douglas,KS,66046,3167,23744,RFS80578,0
Haysville Fish Company LLC,Full-Service Restaurants,7301 S Broadway Ave,Haysville,Sedgwick,KS,67060,3072,3072,RFS250735,0
Haywards Pit Bbq,Full-Service Restaurants,10901 W 75th St,Overland Park,Johnson,KS,66214,79882,145856,RFS41019,0
Haywire's Pit Inc,Full-Service Restaurants,10901 W 75th St,Overland Park,Johnson,KS,66214,79882,145856,RFS41020,0
Hbha Cafe,Full-Service Restaurants,5801 W 115th St,Overland Park,Johnson,KS,66211,70593,128896,RFS224768,0
Heart of Texas Pizza LP,Limited-Service Restaurants,7700 E Polo Dr,Wichita,Sedgwick,KS,67206,59694,150000,RFS430807,0
Heartbeat Coffee LP,Limited-Service Restaurants,1200 S Main St,McPherson,McPherson,KS,67460,30360,37312,RFS302030,0
Heartland Cafe Uptown,Full-Service Restaurants,325 S Kansas Ave,Topeka,Shawnee,KS,66603,2879,23744,RFS164867,0
Heartland Pizza L.L.C.,Limited-Service Restaurants,330 E Madison Ave Ste B10,Derby,Sedgwick,KS,67037,35174,60000,RFS374112,0
Heartland Wheat Inc.,Full-Service Restaurants,101 Goodfood Pl,Manhattan,Riley,KS,66502,13341,30528,RFS30863,0
Heaven Sent Soul Food LLC,Full-Service Restaurants,1108 Suntree Pl APT 1915,Kansas City,Wyandotte,KS,66103,2879,23744,RFS43842,0
Heavenly Pizza,Limited-Service Restaurants,110 E High St,Leon,Butler,KS,67074,11826,27000,RFS294217,0
Heavenly Taste Sushi LLC,Full-Service Restaurants,2711 S Springdale St # 1,Pittsburg,Crawford,KS,66762,2879,2879,RFS144743,0
HEI WA Restaurant,Full-Service Restaurants,295 N Moonlight Rd,Gardner,Johnson,KS,66030,7106,30528,RFS151957,0
Hen House Markets,Full-Service Restaurants,11209 W 165th St,Overland Park,Johnson,KS,66221,4016,20352,RFS46189,0
Henry Helgerson Company Inc,Limited-Service Restaurants,2900 S Hydraulic St,Wichita,Sedgwick,KS,67216,31870,31870,RFS364020,0
Henry's On Henry Street LLC,Full-Service Restaurants,11 E 8th St,Lawrence,Douglas,KS,66044,20015,20015,RFS41611,0
Her Hero,Full-Service Restaurants,7601 W 140th St APT 1706,Overland Park,Johnson,KS,66223,5881,5881,RFS254652,0
Hhb Bbq LLC,Full-Service Restaurants,2138 SW Plass Ave,Topeka,Shawnee,KS,66611,11994,11994,RFS119662,0
