Year,Naics,State,bread,dairy,dry,meat,prepared,produce,excess_high_lbs,excess_low_lbs,excess_fac_cnt
2020,Caterers,DE,14,21,47,37,184,30,1756967,632715,74
2020,Caterers,FL,637,952,2092,1627,8147,1323,66639819,28071934,2864
2020,Caterers,GA,327,489,1075,836,4187,680,25295019,8775003,1110
2020,Caterers,HI,65,98,214,167,835,136,4599795,2778078,116
2020,Caterers,IA,48,72,159,124,620,101,5565514,1740769,155
2020,Caterers,ID,30,45,100,78,389,63,1465648,550027,81
2020,Caterers,IL,677,1011,2223,1729,8656,1406,28176421,14767870,861
2020,Caterers,IN,247,369,811,631,3157,513,9785798,3999187,411
2020,Caterers,KS,60,90,197,153,767,125,3440670,1672872,127
2020,Caterers,KY,109,163,358,279,1395,227,19739785,4556551,229
2020,Caterers,LA,183,273,601,467,2340,380,18655108,7460052,591
2020,Caterers,MA,1085,1621,3565,2772,727975,2254,14555882,7964528,454
2020,Caterers,MD,831,1241,2729,2122,557254,1726,15485158,7090650,602
2020,Caterers,ME,32,48,106,82,413,67,1213492,585631,59
2020,Caterers,MI,494,738,1624,1263,6322,1027,15610805,6566685,591
