State	Zipcode	facility_count	Excess_Food_High_Tons	Excess_Food_Low_Tons	foodbanks	FoodBank_recd_TonYear
TX	76821	10	119.8220105	51.952571		
TX	76823	4	59.917226	23.3888985		
TX	76825	15	209.3738335	74.421732		
TX	76834	5	102.528	51.131482		
TX	76844	1	18.656	7.612902		
TX	76849	11	185.1529425	142.6926875		
TX	76853	3	55.968	21.401292		
TX	76856	2	0.9856935	0.9856935		
TX	76864	1	18.656	7.612902		
TX	76871	1	4.1421105	4.1421105		
TX	76872	1	6.784	1.2672165		
TX	76875	1	23.744	6.9664155		
TX	76877	9	133.6799865	40.5938775		
TX	76878	1	16.96	6.0886485		
TX	76901	36	790.8044755	471.9751965		
TX	76903	72	1187.19975	655.8760565	1	
TX	76904	41	697.9708135	362.0208285		
TX	76905	6	130.78	51.4677405		
TX	76932	9	149.7	73.116121		
TX	76934	1	22.048	11.2883595		
TX	76935	2	27.136	10.558119		
TX	76936	1	1.696	0.33		
TX	76937	1	3.0733065	1.247		
TX	76941	2	15	5.415399		
TX	76943	3	57.204	36.1108165		
TX	76950	7	95.2126555	57.0990425		
TX	76955	1	4.5	1.0067805		
TX	77002	154	2799.59062	1516.709022		
TX	77003	40	757.8099025	377.9085225		
TX	77004	49	1125.321624	422.5430005		
TX	77005	62	1066.094794	566.792965		
TX	77006	104	2288.126476	1161.330584		
TX	77007	116	2524.922995	1519.780522		
TX	77008	93	1520.780389	811.582659		
TX	77009	48	885.090673	444.7775265		
TX	77010	26	1409.744751	1086.573307		
TX	77011	14	266.3626025	174.473566		
TX	77012	22	349.0485195	189.531519		
TX	77013	9	170.8927255	69.7537005		
TX	77014	19	219.1203105	100.6704165		
TX	77015	76	1297.865537	682.9761755		
TX	77016	14	128.3939955	51.9800385		
TX	77017	29	399.053382	213.7551015		
TX	77018	50	1388.51134	920.940561		
TX	77019	63	1739.959302	1050.174474		
TX	77020	16	344.250882	161.541615		
TX	77021	29	454.001885	292.287957		
TX	77022	43	898.1930305	563.1854605		
TX	77023	51	894.540793	537.952165		
TX	77024	143	3898.863889	1771.572899		
